Name,activation,optimizer,is_one_hot,loss,accuracy
elu_adadelta,elu,adadelta,True,6.751636505126953,0.08105000108480453
elu_adagrad,elu,adagrad,True,2.370589256286621,0.09965000301599503
elu_adamax,elu,adamax,True,2.334533452987671,0.10007499903440475
elu_adam,elu,adam,True,2.329911708831787,0.10057500004768372
elu_ftrl,elu,ftrl,True,2.3045740127563477,0.09965000301599503
elu_nadam,elu,nadam,True,2.3525447845458984,0.09992499649524689
elu_rmsprop,elu,rmsprop,True,2.3226981163024902,0.09992499649524689
elu_sgd,elu,sgd,True,2.3591973781585693,0.09965000301599503
hard_sigmoid,hard,sigmoid,True,2.302579641342163,0.10119999945163727
hard_sigmoid,hard,sigmoid,True,2.303067684173584,0.10225000232458115
hard_sigmoid,hard,sigmoid,True,2.3026318550109863,0.10057500004768372
hard_sigmoid,hard,sigmoid,True,2.3025522232055664,0.10125000029802322
hard_sigmoid,hard,sigmoid,True,2.3025760650634766,0.10119999945163727
hard_sigmoid,hard,sigmoid,True,2.218909502029419,0.16197499632835388
hard_sigmoid,hard,sigmoid,True,2.3240675926208496,0.09965000301599503
hard_sigmoid,hard,sigmoid,True,2.303741455078125,0.1043500006198883
linear_adadelta,linear,adadelta,True,20.29429054260254,0.10427500307559967
linear_adagrad,linear,adagrad,True,13.697257041931152,0.1122250035405159
linear_adamax,linear,adamax,True,8.59346866607666,0.1085750013589859
linear_adam,linear,adam,True,4.913881778717041,0.12372499704360962
linear_ftrl,linear,ftrl,True,9.279451370239258,0.10589999705553055
linear_nadam,linear,nadam,True,6.978652477264404,0.10909999907016754
linear_rmsprop,linear,rmsprop,True,6.700713634490967,0.13432499766349792
linear_sgd,linear,sgd,True,2.1059155464172363,0.16872499883174896
relu_adadelta,relu,adadelta,True,2.3436086177825928,0.10152500122785568
relu_adagrad,relu,adagrad,True,2.303635835647583,0.10119999945163727
relu_adamax,relu,adamax,True,2.305438756942749,0.10119999945163727
relu_adam,relu,adam,True,2.3025119304656982,0.10122500360012054
relu_ftrl,relu,ftrl,True,2.3025755882263184,0.10119999945163727
relu_nadam,relu,nadam,True,2.3031716346740723,0.10122500360012054
relu_rmsprop,relu,rmsprop,True,2.3025712966918945,0.10119999945163727
relu_sgd,relu,sgd,True,2.302584409713745,0.10119999945163727
selu_adadelta,selu,adadelta,True,50.296810150146484,0.10930000245571136
selu_adagrad,selu,adagrad,True,2.5635924339294434,0.10032500326633453
selu_adamax,selu,adamax,True,2.3966598510742188,0.09937500208616257
selu_adam,selu,adam,True,2.4432191848754883,0.10057500004768372
selu_ftrl,selu,ftrl,True,2.357361078262329,0.10007499903440475
selu_nadam,selu,nadam,True,2.3470959663391113,0.09995000064373016
selu_rmsprop,selu,rmsprop,True,2.341536521911621,0.09965000301599503
selu_sgd,selu,sgd,True,2.5753111839294434,0.09965000301599503
sigmoid_adadelta,sigmoid,adadelta,True,2.3226335048675537,0.09322500228881836
sigmoid_adagrad,sigmoid,adagrad,True,2.3670356273651123,0.09997499734163284
sigmoid_adamax,sigmoid,adamax,True,2.3017282485961914,0.10080000013113022
sigmoid_adam,sigmoid,adam,True,2.2497620582580566,0.15242500603199005
sigmoid_ftrl,sigmoid,ftrl,True,2.2864439487457275,0.17589999735355377
sigmoid_nadam,sigmoid,nadam,True,2.304466962814331,0.10782500356435776
sigmoid_rmsprop,sigmoid,rmsprop,True,2.268183946609497,0.12707500159740448
sigmoid_sgd,sigmoid,sgd,True,2.3062286376953125,0.0979750007390976
softplus_adadelta,softplus,adadelta,True,32.82368469238281,0.11477500200271606
softplus_adagrad,softplus,adagrad,True,2.3025383949279785,0.10122500360012054
softplus_adamax,softplus,adamax,True,2.302737236022949,0.10119999945163727
softplus_adam,softplus,adam,True,2.3025498390197754,0.10119999945163727
softplus_ftrl,softplus,ftrl,True,2.3026552200317383,0.10119999945163727
softplus_nadam,softplus,nadam,True,2.3025143146514893,0.10119999945163727
softplus_rmsprop,softplus,rmsprop,True,2.3025176525115967,0.10119999945163727
softplus_sgd,softplus,sgd,True,2.302584648132324,0.10119999945163727
softsign_adadelta,softsign,adadelta,True,2.3687946796417236,0.1010499969124794
softsign_adagrad,softsign,adagrad,True,2.2652225494384766,0.15277500450611115
softsign_adamax,softsign,adamax,True,2.191385507583618,0.16695000231266022
softsign_adam,softsign,adam,True,2.2592201232910156,0.14875000715255737
softsign_ftrl,softsign,ftrl,True,2.2636539936065674,0.17167499661445618
softsign_nadam,softsign,nadam,True,2.266970634460449,0.16335000097751617
softsign_rmsprop,softsign,rmsprop,True,2.2204642295837402,0.15862500667572021
softsign_sgd,softsign,sgd,True,2.270186185836792,0.11964999884366989
tanh_adadelta,tanh,adadelta,True,2.368926763534546,0.10014999657869339
tanh_adagrad,tanh,adagrad,True,2.3047432899475098,0.12065000087022781
tanh_adamax,tanh,adamax,True,2.312295913696289,0.09952499717473984
tanh_adam,tanh,adam,True,2.314894437789917,0.09960000216960907
tanh_ftrl,tanh,ftrl,True,2.30257511138916,0.10119999945163727
tanh_nadam,tanh,nadam,True,2.3187947273254395,0.09929999709129333
tanh_rmsprop,tanh,rmsprop,True,2.2390761375427246,0.15527500212192535
tanh_sgd,tanh,sgd,True,2.3550894260406494,0.09962499886751175
elu_adadelta,elu,adadelta,False,2.3776063919067383,0.10119999945163727
elu_adagrad,elu,adagrad,False,2.3813483715057373,0.10050000250339508
elu_adamax,elu,adamax,False,2.3240370750427246,0.09992499649524689
elu_adam,elu,adam,False,2.3536317348480225,0.09992499649524689
elu_ftrl,elu,ftrl,False,2.3127496242523193,0.0994499996304512
elu_nadam,elu,nadam,False,2.3343193531036377,0.0994499996304512
elu_rmsprop,elu,rmsprop,False,2.307612419128418,0.0994499996304512
elu_sgd,elu,sgd,False,2.365121603012085,0.09965000301599503
hard_sigmoid,hard,sigmoid,False,2.30269455909729,0.10145000368356705
hard_sigmoid,hard,sigmoid,False,2.2718563079833984,0.11052499711513519
hard_sigmoid,hard,sigmoid,False,2.3025550842285156,0.10125000029802322
hard_sigmoid,hard,sigmoid,False,2.30256986618042,0.10119999945163727
hard_sigmoid,hard,sigmoid,False,2.3025758266448975,0.10119999945163727
hard_sigmoid,hard,sigmoid,False,2.2144336700439453,0.16392500698566437
hard_sigmoid,hard,sigmoid,False,2.327542781829834,0.10050000250339508
hard_sigmoid,hard,sigmoid,False,2.302847385406494,0.10109999775886536
linear_adadelta,linear,adadelta,False,42.75265121459961,0.07412499934434891
linear_adagrad,linear,adagrad,False,16.05332374572754,0.11677499860525131
linear_adamax,linear,adamax,False,10.015989303588867,0.11394999921321869
linear_adam,linear,adam,False,6.645352840423584,0.12532499432563782
linear_ftrl,linear,ftrl,False,9.68653678894043,0.11962500214576721
linear_nadam,linear,nadam,False,8.508413314819336,0.105274997651577
linear_rmsprop,linear,rmsprop,False,6.339065074920654,0.12422499805688858
linear_sgd,linear,sgd,False,2.109739303588867,0.1701499968767166
relu_adadelta,relu,adadelta,False,3.645862579345703,0.10172499716281891
relu_adagrad,relu,adagrad,False,2.30344295501709,0.10117500275373459
relu_adamax,relu,adamax,False,2.3060142993927,0.10119999945163727
relu_adam,relu,adam,False,2.302570343017578,0.10119999945163727
relu_ftrl,relu,ftrl,False,2.302969217300415,0.10119999945163727
relu_nadam,relu,nadam,False,2.3025705814361572,0.10119999945163727
relu_rmsprop,relu,rmsprop,False,2.3013057708740234,0.10175000131130219
relu_sgd,relu,sgd,False,2.302584409713745,0.10119999945163727
selu_adadelta,selu,adadelta,False,2.542968988418579,0.10239999741315842
selu_adagrad,selu,adagrad,False,2.6080739498138428,0.09960000216960907
selu_adamax,selu,adamax,False,2.4828240871429443,0.09962499886751175
selu_adam,selu,adam,False,2.433565616607666,0.09937500208616257
selu_ftrl,selu,ftrl,False,2.4287338256835938,0.10052499920129776
selu_nadam,selu,nadam,False,2.49126935005188,0.09965000301599503
selu_rmsprop,selu,rmsprop,False,2.3462162017822266,0.10357499867677689
selu_sgd,selu,sgd,False,2.5279014110565186,0.09965000301599503
sigmoid_adadelta,sigmoid,adadelta,False,2.320939540863037,0.10854999721050262
sigmoid_adagrad,sigmoid,adagrad,False,2.2855489253997803,0.14094999432563782
sigmoid_adamax,sigmoid,adamax,False,2.30259108543396,0.10122500360012054
sigmoid_adam,sigmoid,adam,False,2.302548885345459,0.10122500360012054
sigmoid_ftrl,sigmoid,ftrl,False,2.3025755882263184,0.10119999945163727
sigmoid_nadam,sigmoid,nadam,False,2.226818084716797,0.1719750016927719
sigmoid_rmsprop,sigmoid,rmsprop,False,2.302184820175171,0.10154999792575836
sigmoid_sgd,sigmoid,sgd,False,2.3028066158294678,0.10177499800920486
softplus_adadelta,softplus,adadelta,False,2.316575527191162,0.10112500190734863
softplus_adagrad,softplus,adagrad,False,2.356349468231201,0.10187499970197678
softplus_adamax,softplus,adamax,False,2.3041021823883057,0.10119999945163727
softplus_adam,softplus,adam,False,2.3025705814361572,0.10119999945163727
softplus_ftrl,softplus,ftrl,False,2.3040030002593994,0.10122500360012054
softplus_nadam,softplus,nadam,False,2.303419589996338,0.10122500360012054
softplus_rmsprop,softplus,rmsprop,False,2.3025712966918945,0.10119999945163727
softplus_sgd,softplus,sgd,False,2.302584409713745,0.10119999945163727
softsign_adadelta,softsign,adadelta,False,2.348707437515259,0.11535000056028366
softsign_adagrad,softsign,adagrad,False,2.3576014041900635,0.0987749993801117
softsign_adamax,softsign,adamax,False,2.286961555480957,0.1581750065088272
softsign_adam,softsign,adam,False,2.2685699462890625,0.14697499573230743
softsign_ftrl,softsign,ftrl,False,2.2652015686035156,0.16384999454021454
softsign_nadam,softsign,nadam,False,2.198131799697876,0.1725499927997589
softsign_rmsprop,softsign,rmsprop,False,2.207747459411621,0.16040000319480896
softsign_sgd,softsign,sgd,False,2.278269052505493,0.11517500132322311
tanh_adadelta,tanh,adadelta,False,2.376229763031006,0.10657499730587006
tanh_adagrad,tanh,adagrad,False,2.280683755874634,0.11069999635219574
tanh_adamax,tanh,adamax,False,2.2477738857269287,0.16577500104904175
tanh_adam,tanh,adam,False,2.2870726585388184,0.14852499961853027
tanh_ftrl,tanh,ftrl,False,2.3025758266448975,0.10119999945163727
tanh_nadam,tanh,nadam,False,2.2211687564849854,0.1597750037908554
tanh_rmsprop,tanh,rmsprop,False,2.312795400619507,0.10062500089406967
tanh_sgd,tanh,sgd,False,2.3468072414398193,0.0994499996304512
